PL,MRP element data,Date,Need Dt,PO Message,Days of reschedule,  Material,Material description,Quantity,Qty to Cancel,MOQ,FCST Ref
Waiting Inv.,9660001767/00010,12/30/2023,4/16/2023,Reschedule in,-258,07090803-001,"Chip Thick Film Resistor,0.0625W,22ohm,+",85900,0,100,202305
Waiting Inv.,9660001769/00020,12/30/2023,3/17/2023,Reschedule in,-288,07090911-001,"Chip Thick Film Resistor,0.05W,0ohm,50m",60000,0,10000,202304
Waiting Inv.,9660001767/00020,12/30/2023,4/16/2023,Reschedule in,-258,07090911-001,"Chip Thick Film Resistor,0.05W,0ohm,50m",260000,0,10000,202305
Waiting Inv.,9660001769/00030,12/30/2023,3/17/2023,Reschedule in,-288,07090944-001,"Chip Thick Film Resistor,0.125W,750000oh",40000,0,5000,202304
Waiting Inv.,9660001767/00030,12/30/2023,4/16/2023,Reschedule in,-258,07090944-001,"Chip Thick Film Resistor,0.125W,750000oh",175000,0,5000,202305
Waiting Inv.,9660001769/00040,12/30/2023,3/17/2023,Reschedule in,-288,07091438-001,"ChipThickFilmResistor,0.1W,2.2ohm,+/",10000,0,5000,202304
Waiting Inv.,9660001767/00040,12/30/2023,4/16/2023,Reschedule in,-258,07091438-001,"ChipThickFilmResistor,0.1W,2.2ohm,+/",40000,0,5000,202305
Waiting Inv.,9660001769/00050,12/30/2023,3/17/2023,Reschedule in,-288,07091449-001,"Chip Thick Film Resistor,0.0625W,1ohm,+/",10000,0,10000,202304
Waiting Inv.,9660001767/00050,12/30/2023,4/16/2023,Reschedule in,-258,07091449-001,"Chip Thick Film Resistor,0.0625W,1ohm,+/",40000,0,10000,202305
Waiting Inv.,9660001769/00070,12/30/2023,3/17/2023,Reschedule in,-288,07091457-001,"Chip Thick Film Resistor,0.05W,1000ohm,+",30000,0,10000,202304
Waiting Inv.,9660001767/00070,12/30/2023,4/16/2023,Reschedule in,-258,07091457-001,"Chip Thick Film Resistor,0.05W,1000ohm,+",120000,0,10000,202305
Waiting Inv.,9660001769/00080,12/30/2023,3/17/2023,Reschedule in,-288,07091463-001,"Chip Thick Film Resistor,0.05W,10000ohm,",20000,0,10000,202304
Waiting Inv.,9660001767/00080,12/30/2023,4/16/2023,Reschedule in,-258,07091463-001,"Chip Thick Film Resistor,0.05W,10000ohm,",90000,0,10000,202305
Waiting Inv.,9660001769/00090,12/30/2023,3/17/2023,Reschedule in,-288,07091470-001,"Chip Thick Film Resistor,0.0625W,0ohm,le",180000,0,1000,202304
Waiting Inv.,9660001767/00090,12/30/2023,4/16/2023,Reschedule in,-258,07091470-001,"Chip Thick Film Resistor,0.0625W,0ohm,le",770000,0,1000,202305
Waiting Inv.,9660001769/00100,12/30/2023,3/17/2023,Reschedule in,-288,07091472-001,"Chip Thick Film Resistor,0.1W,1ohm,+/-1%",20000,0,1000,202304
Waiting Inv.,9660001767/00100,12/30/2023,4/16/2023,Reschedule in,-258,07091472-001,"Chip Thick Film Resistor,0.1W,1ohm,+/-1%",86000,0,1000,202305
Waiting Inv.,9660001769/00110,12/30/2023,3/17/2023,Reschedule in,-288,07091482-001,"Chip Thick Film Resistor,0.125W,0ohm,les",50000,0,5000,202304
Waiting Inv.,9660001767/00110,12/30/2023,4/16/2023,Reschedule in,-258,07091482-001,"Chip Thick Film Resistor,0.125W,0ohm,les",215000,0,5000,202305
Waiting Inv.,9660001769/00120,12/30/2023,3/17/2023,Reschedule in,-288,07091486-001,"ChipThickFilmResistor,0.1W,0ohm,50mO",170000,0,5000,202304
Waiting Inv.,9660001767/00120,12/30/2023,4/16/2023,Reschedule in,-258,07091486-001,"ChipThickFilmResistor,0.1W,0ohm,50mO",730000,0,5000,202305
Waiting Inv.,9660001769/00130,12/30/2023,3/17/2023,Reschedule in,-288,07091494-001,"Chip Thick Film Resistor,0.25W,1000000oh",10000,0,5000,202304
Waiting Inv.,9660001767/00130,12/30/2023,4/16/2023,Reschedule in,-258,07091494-001,"Chip Thick Film Resistor,0.25W,1000000oh",40000,0,5000,202305
Waiting Inv.,9660001769/00140,12/30/2023,3/17/2023,Reschedule in,-288,07091500-001,"Chip Thick Film Resistor,0.0625W,10ohm,+",60000,0,1000,202304
Waiting Inv.,9660001767/00140,12/30/2023,4/16/2023,Reschedule in,-258,07091500-001,"Chip Thick Film Resistor,0.0625W,10ohm,+",259000,0,1000,202305
Waiting Inv.,9660001769/00150,12/30/2023,3/17/2023,Reschedule in,-288,07091529-001,"Chip Thick Film Resistor,0.0625W,2000ohm",10000,0,1000,202304
Waiting Inv.,9660001767/00150,12/30/2023,4/16/2023,Reschedule in,-258,07091529-001,"Chip Thick Film Resistor,0.0625W,2000ohm",43000,0,1000,202305
Waiting Inv.,9660001769/00160,12/30/2023,4/16/2023,Reschedule in,-258,07091545-001,"ChipThickFilmResistor,0.0625W,15ohm,""",10000,0,10000,202305
Waiting Inv.,9660001767/00160,12/30/2023,4/16/2023,Reschedule in,-258,07091545-001,"ChipThickFilmResistor,0.0625W,15ohm,""",40000,0,10000,202305
Waiting Inv.,9660001769/00170,12/30/2023,3/17/2023,Reschedule in,-288,07091555-001,"Chip Thick Film Resistor,0.125W,20ohm,+/",20000,0,5000,202304
Waiting Inv.,9660001767/00170,12/30/2023,4/16/2023,Reschedule in,-258,07091555-001,"Chip Thick Film Resistor,0.125W,20ohm,+/",85000,0,5000,202305
Waiting Inv.,9660001769/00180,12/30/2023,3/17/2023,Reschedule in,-288,07091577-001,"Chip Thick Film Resistor,0.0625W,121000o",40000,0,10000,202304
Waiting Inv.,9660001767/00180,12/30/2023,4/16/2023,Reschedule in,-258,07091577-001,"Chip Thick Film Resistor,0.0625W,121000o",170000,0,10000,202305
Waiting Inv.,9660001769/00190,12/30/2023,3/17/2023,Reschedule in,-288,07091578-001,"Chip Thick Film Resistor,0.0625W,33ohm,+",80000,0,1000,202304
Waiting Inv.,9660001767/00190,12/30/2023,4/16/2023,Reschedule in,-258,07091578-001,"Chip Thick Film Resistor,0.0625W,33ohm,+",344000,0,1000,202305
Waiting Inv.,9660001769/00200,12/30/2023,3/17/2023,Reschedule in,-288,07091579-001,"Chip Thick Film Resistor,0.1W,120000ohm,",20000,0,5000,202304
Waiting Inv.,9660001767/00200,12/30/2023,4/16/2023,Reschedule in,-258,07091579-001,"Chip Thick Film Resistor,0.1W,120000ohm,",85000,0,5000,202305
Waiting Inv.,9660001769/00210,12/30/2023,3/17/2023,Reschedule in,-288,07091594-001,"Chip Thick Film Resistor,0.0625W,75000oh",10000,0,2000,202304
Waiting Inv.,9660001767/00210,12/30/2023,4/16/2023,Reschedule in,-258,07091594-001,"Chip Thick Film Resistor,0.0625W,75000oh",42000,0,2000,202305
Waiting Inv.,9660001769/00220,12/30/2023,3/17/2023,Reschedule in,-288,07091611-001,"Chip Thick Film Resistor,0.0625W,51000oh",30000,0,10000,202304
Waiting Inv.,9660001767/00220,12/30/2023,4/16/2023,Reschedule in,-258,07091611-001,"Chip Thick Film Resistor,0.0625W,51000oh",120000,0,10000,202305
Waiting Inv.,9660001769/00230,12/30/2023,3/17/2023,Reschedule in,-288,07091631-001,"ChipThickFilmResistor,0.1W,40200ohm,",20000,0,1000,202304
Waiting Inv.,9660001767/00230,12/30/2023,4/16/2023,Reschedule in,-258,07091631-001,"ChipThickFilmResistor,0.1W,40200ohm,",86000,0,1000,202305
Waiting Inv.,9660001769/00240,12/30/2023,3/17/2023,Reschedule in,-288,07091646-001,"Chip Thick Film Resistor,0.0625W,4700ohm",150000,0,1000,202304
Waiting Inv.,9660001767/00240,12/30/2023,4/16/2023,Reschedule in,-258,07091646-001,"Chip Thick Film Resistor,0.0625W,4700ohm",642000,0,1000,202305
Waiting Inv.,9660001769/00250,12/30/2023,3/17/2023,Reschedule in,-288,07091653-001,"Chip Thick Film Resistor,0.0625W,33000oh",10000,0,10000,202304
Waiting Inv.,9660001767/00250,12/30/2023,4/16/2023,Reschedule in,-258,07091653-001,"Chip Thick Film Resistor,0.0625W,33000oh",40000,0,10000,202305
Waiting Inv.,9660001769/00260,12/30/2023,3/17/2023,Reschedule in,-288,07091667-001,"Chip Thick Film Resistor,0.0625W,30000oh",20000,0,10000,202304
Waiting Inv.,9660001767/00260,12/30/2023,4/16/2023,Reschedule in,-258,07091667-001,"Chip Thick Film Resistor,0.0625W,30000oh",90000,0,10000,202305
Waiting Inv.,9660001769/00270,12/30/2023,3/17/2023,Reschedule in,-288,07091675-001,"ChipThickFilmResistor,0.0625W,5110oh",10000,0,10000,202304
Waiting Inv.,9660001767/00270,12/30/2023,4/16/2023,Reschedule in,-258,07091675-001,"ChipThickFilmResistor,0.0625W,5110oh",50000,0,10000,202305
Waiting Inv.,9660001769/00280,12/30/2023,3/17/2023,Reschedule in,-288,07091676-001,"ChipThickFilmResistor,0.0625W,24000o",10000,0,2000,202304
Waiting Inv.,9660001767/00280,12/30/2023,4/16/2023,Reschedule in,-258,07091676-001,"ChipThickFilmResistor,0.0625W,24000o",42000,0,2000,202305
Waiting Inv.,9660001769/00290,12/30/2023,3/17/2023,Reschedule in,-288,07091698-001,"Chip Thick Film Resistor,0.0625W,7500ohm",10000,0,1000,202304
Waiting Inv.,9660001767/00290,12/30/2023,4/16/2023,Reschedule in,-258,07091698-001,"Chip Thick Film Resistor,0.0625W,7500ohm",43000,0,1000,202305
Waiting Inv.,9660001769/00300,12/30/2023,3/17/2023,Reschedule in,-288,07091706-001,"Chip Thick Film Resistor,0.0625W,10000oh",110000,0,1000,202304
Waiting Inv.,9660001767/00300,12/30/2023,4/16/2023,Reschedule in,-258,07091706-001,"Chip Thick Film Resistor,0.0625W,10000oh",472000,0,1000,202305
Waiting Inv.,9660001769/00310,12/30/2023,3/17/2023,Reschedule in,-288,07091724-001,"Chip Thick Film Resistor,0.0625W,100ohm,",150000,0,1000,202304
Waiting Inv.,9660001767/00310,12/30/2023,4/16/2023,Reschedule in,-258,07091724-001,"Chip Thick Film Resistor,0.0625W,100ohm,",643000,0,1000,202305
Waiting Inv.,9660001769/00320,12/30/2023,3/17/2023,Reschedule in,-288,07091731-001,"Chip Thick Film Resistor,0.1W,150ohm,+/-",10000,0,100,202304
Waiting Inv.,9660001767/00320,12/30/2023,4/16/2023,Reschedule in,-258,07091731-001,"Chip Thick Film Resistor,0.1W,150ohm,+/-",43100,0,100,202305
Waiting Inv.,9660001769/00330,12/30/2023,3/17/2023,Reschedule in,-288,07091734-001,"Chip Thick Film Resistor,0.0625W,1000ohm",270000,0,1000,202304
Waiting Inv.,9660001767/00330,12/30/2023,4/16/2023,Reschedule in,-258,07091734-001,"Chip Thick Film Resistor,0.0625W,1000ohm",1156000,0,1000,202305
Waiting Inv.,9660001769/00340,12/30/2023,3/17/2023,Reschedule in,-288,07091737-001,"ChipThickFilmResistor,0.1W,200ohm,+/""",70000,0,5000,202304
Waiting Inv.,9660001767/00340,12/30/2023,4/16/2023,Reschedule in,-258,07091737-001,"ChipThickFilmResistor,0.1W,200ohm,+/""",295000,0,5000,202305
Waiting Inv.,9660001769/00350,12/30/2023,3/17/2023,Reschedule in,-288,07091740-002,"Chip Thick Film Resistor,0.0625W,750ohm,",10000,0,2000,202304
Waiting Inv.,9660001767/00350,12/30/2023,4/16/2023,Reschedule in,-258,07091740-002,"Chip Thick Film Resistor,0.0625W,750ohm,",44000,0,2000,202305
Waiting Inv.,9660001769/00360,12/30/2023,3/17/2023,Reschedule in,-288,07091747-001,"Chip Thick Film Resistor,0.0625W,510ohm,",20000,0,1000,202304
Waiting Inv.,9660001767/00360,12/30/2023,4/16/2023,Reschedule in,-258,07091747-001,"Chip Thick Film Resistor,0.0625W,510ohm,",86000,0,1000,202305
Waiting Inv.,9660001769/00370,12/30/2023,3/17/2023,Reschedule in,-288,07091770-001,"ChipThickFilmResistor,0.0625W,51ohm",10000,0,1000,202304
Waiting Inv.,9660001767/00370,12/30/2023,4/16/2023,Reschedule in,-258,07091770-001,"ChipThickFilmResistor,0.0625W,51ohm",43000,0,1000,202305
Waiting Inv.,9660001769/00380,12/30/2023,3/17/2023,Reschedule in,-288,07091782-001,"Chip Thick Film Resistor,0.0625W,240ohm,",20000,0,1000,202304
